date,event,url,doc,url_doc
04-01,World Braille Day,https://www.un.org/en/observances/braille-day,A/RES/73/161,http://undocs.org/en/A/RES/73/161
24-01,International Day of Education,https://www.un.org/en/observances/education-day,A/RES/73/25,http://undocs.org/en/A/RES/73/25
27-01,International Day of Commemoration in Memory of the Victims of the Holocaust,https://www.un.org/en/holocaustremembrance/observance/,A/RES/60/7,http://undocs.org/en/A/RES/60/7
01-02,World Interfaith Harmony Week,https://www.un.org/en/observances/interfaith-harmony-week,A/RES/65/5,http://undocs.org/en/A/RES/65/5
04-02,International Day of Human Fraternity,https://www.un.org/en/observances/human-fraternity,A/RES/75/200,https://undocs.org/en/A/RES/75/200
06-02,International Day of Zero Tolerance to Female Genital Mutilation,https://www.un.org/en/observances/female-genital-mutilation-day,A/RES/67/146,https://undocs.org/en/A/RES/67/146
10-02,World Pulses Day,https://www.un.org/en/observances/world-pulses-day,A/RES/73/251,https://undocs.org/en/A/RES/73/251
11-02,International Day of Women and Girls in Science,https://www.un.org/en/observances/women-and-girls-in-science-day/,A/RES/70/212,http://undocs.org/en/A/RES/70/212
13-02,World Radio Day,https://www.un.org/en/observances/radio-day,A/RES/67/124,http://undocs.org/en/A/RES/67/124
20-02,World Day of Social Justice,https://www.un.org/en/observances/social-justice-day,A/RES/62/10,http://undocs.org/en/A/RES/62/10
21-02,International Mother Language Day,https://www.un.org/en/observances/mother-language-day,A/RES/56/262,http://undocs.org/en/A/RES/56/262
01-03,Zero Discrimination Day,https://www.unaids.org/en/zero-discrimination-day,,
03-03,World Wildlife Day,https://www.un.org/en/observances/world-wildlife-day,A/RES/68/205,http://undocs.org/en/A/RES/68/205
08-03,International Women's Day,https://www.un.org/en/observances/womens-day,,
10-03,International Day of Women Judges,,A/RES/75/274,https://undocs.org/A/RES/75/274
20-03,International Day of Happiness,https://www.un.org/en/observances/happiness-day,A/RES/66/281,http://undocs.org/en/A/RES/66/281
20-03,French Language Day,http://www.un.org/fr/events/frenchlanguageday/,,
21-03,International Day for the Elimination of Racial Discrimination,https://www.un.org/en/observances/end-racism-day,A/RES/2142 (XXI),http://undocs.org/en/A/RES/66/281
